Companies	Details
Phone	042-35384671-80
Phone 2	
Fax	042-35384691-92
Date of Listing	06/12/1994
Email	info@honda.com.pk
URL	www.honda.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Takayuki Kizawa
Designation	President & Chief Executive Officer
Company	Hinopak Motors Limited
Address	"D-2, S.I.T.E , Manghopir Road,Karachi"
Phone	"021-32563510-18, 111-252-525"
Phone 2	
Fax	021-32563028
Date of Listing	25/05/1988
Email	info@hinopak.com
URL	www.hinopak.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Ali Asghar Abbas Jamali
Designation	Chief Executive Officer
Company	Indus Motor Company Limited
Address	"Plot No.NWZ/1/P-1 , Port Qasim Authority, Bin Qasim,Karachi"
Phone	021-34720041-48-34721100
Phone 2	021-111-869-682
Fax	021-34720056-34720054
Date of Listing	29/06/1992
Email	anam.khan@toyota-indus.com
URL	www.toyota-indus.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Syed Muhammad Irfan Aqueel
Designation	Chief Executive
Company	Millat Tractors Limited
Address	"Sheikhupura Road , Distt: Shahdara,Lahore"
Phone	"042-111-200-786, 37911021-25"
Phone 2	
Fax	042-37925835-37924166
Date of Listing	02/02/1965
Email	info@millat.com.pk
URL	www.millat.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Masafumi Harano
Designation	Chief Executive Officer
Company	Pak Suzuki Motor Company Limited
Address	"DSU-13, Pakistan Steel Industrial Estates , Bin Qasim,Karachi"
Phone	021-34723552-58
Phone 2	021-34723532 (Direct)
Fax	021-34723521-23
Date of Listing	10/09/1985
Email	contact@paksuzuki.com.pk
URL	www.paksuzuki.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mian Asad Hameed
Designation	Chief Executive
Company	Sazgar Engineering Works Limited
Address	"88 -Ali Town, Thokar Niaz Baig , Raiwind Road,Lahore"
Phone	042-35312125-27
Phone 2	042-35291573-74
Fax	042-35312128
Date of Listing	23/09/1996
Email	sazgar@brain.net.pk
URL	www.sazgar.com.pk
	
Representative	Mr. Fahim Kapadia
Designation	Chief Executive
Company	Agriauto Industries Limited
Address	"5th Floor, House of Habib , 3-J.C.H.S., Block 7/8,Main Shahrah-e-Faisal,Karachi"
Phone	021-34541540-34541543
Phone 2	
Fax	021-34549284
Date of Listing	06/06/1984
Email	info@agriauto.com.pk
URL	www.agriauto.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Ali H. Shirazi
Designation	President / Chief Executive
Company	Atlas Battery Limited
Address	"D-181, Central Avenue , S.I.T.E,Karachi"
Phone	021-111247225
Phone 2	
Fax	021-32564703
Date of Listing	19/08/1968
Email	abl@abl.atlas.pk
URL	www.abl.atlas.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Abdul Mateen Allahwala
Designation	Chief Executive
Company	Bela Automotives Limited
Address	"Plot No.1 & 3 Mouza Pathra , Hub Chowki,Baluchistan"
Phone	
Phone 2	Mob.0300-8271368
Fax	
Date of Listing	27/09/1994
Email	belaautomotive@gmail.com
URL	
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Razzak H.M. Bengali
Designation	Chief Executive
Company	Baluchistan Wheels Limited
Address	"1st Floor, State Life Building No.3 , Dr. Ziauddin Ahmed Road,Karachi"
Phone	021-35689259-35687502
Phone 2	
Fax	021-35684003
Date of Listing	18/01/1994
Email	bwlho@cyber.net.pk
URL	www.bwheels.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Waseem-ul-Haque Ansari
Designation	Chief Executive Officer
Company	Dewan Automotive Engineering Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	111-364-111
Phone 2	
Fax	021-35630860
Date of Listing	02/09/1986
Email	info@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mr. Arshad Shehzada
Designation	Managing Director / Chief Executive
Company	Exide Pakistan Limited
Address	"A-44, Hill Street, Off: Manghopir Road , S.I.T.E.,Karachi"
Phone	021-32593371-85
Phone 2	
Fax	021-32561679-32573575
Date of Listing	28/03/1982
Email	exidepk@exide.com.pk
URL	www.exide.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Hussain Kuli Khan Khattak
Designation	Chief Executive Officer
Company	Ghandhara Tyre and Rubber Company Limited (Formerly: General Tyre)
Address	"H-23/2, Landhi Industrial Trading Estate , Landhi,Karachi"
Phone	021-111-487-487
Phone 2	021-35080172-81
Fax	021-35080171
Date of Listing	21/06/1982
Email	farhan.ahmad@gentipak.com
URL	www.generaltyre.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Munir K. Bana
Designation	Chief Executive Officer
Company	Loads Limited
Address	"Plot No.23, Sector 19 , Korangi Industrial Area,Karachi"
Phone	021-35065001-5
Phone 2	
Fax	021-35057453-4
Date of Listing	01/11/2016
Email	loads@cyber.net.pk
URL	www.loads-group.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mian Faisal Iftikhar
Designation	Cheif Executive Officer
Company	Panther Tyres Limited
Address	"Panther House, 97-B, Aziz Avenue, , Jail Road,,Lahore"
Phone	042-111554444
Phone 2	
Fax	042-36661674
Date of Listing	22/02/2021
Email	info@panthertyres.com
URL	www.panthertyres.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Mr. Muhammad Tayyab Tareen
Designation	Chief Executive Officer
Company	Thal Limited
Address	"4th Floor, House of Habib , 3-Jinnah C.H. Society, Block-7/8, Shahrah-e-Faisal,Karachi"
Phone	"021-34312030-35, 34312185"
Phone 2	
Fax	021-34312318-34390868
Date of Listing	08/04/1967
Email	tl@hoh.net
URL	www.thallimited.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Tariq Rehman
Designation	Chief Executive/ Managing Director
Company	Emco Industries Limited
Address	"4th Floor, National Tower , 28-Edgerton Road,Lahore"
Phone	042-36306545 - 46
Phone 2	
Fax	042-36368119
Date of Listing	30/01/1984
Email	info@emco.com.pk
URL	www.emco.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Anis Mianoor
Designation	Chief Executive
Company	Johnson & Phillips (Pakistan) Limited
Address	"C-10, South Avenue , S.I.T.E.,Karachi"
Phone	021-32560030-37
Phone 2	
Fax	021-32564603
Date of Listing	06/07/1961
Email	info@johnsonphillips-pk.com
URL	www.johnsonphillips.pk
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Muhammad Murad Saigol
Designation	Chief Executive
Company	Pak Elektron Limited
Address	"17-Aziz Avenue , Canal Bank, Gulberg-V,Lahore"
Phone	"042-35718274-75, 35717364-65"
Phone 2	
Fax	042-35715105-35762707
Date of Listing	28/11/1988
Email	shares@saigols.com
URL	www.pel.com.pk
	
Representative	Mr. Kamal A. Chinoy
Designation	Chief Executive
Company	Pakistan Cables Limited
Address	"B/21, S.I.T.E. , Manghopir Road,Karachi"
Phone	021-32561170-75
Phone 2	
Fax	021-32564614
Date of Listing	05/09/1955
Email	info@pakistancables.com
URL	www.pakistancables.com
	
Representative	Mr. Markus Erich Strohmeier
Designation	Chief Executive Officer
Company	Siemens (Pakistan) Engineering Company Ltd.
Address	"B/72, Estate Avenue , S.I.T.E.,Karachi"
Phone	"021-32574910-19, 32566201-10"
Phone 2	021-111-077-088
Fax	"021-32567463, 32563563"
Date of Listing	08/07/1978
Email	td@siemens.com.pk
URL	www.siemens.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Haroon Ahmad Khan
Designation	Chief Executive Officer
Company	Waves Singer Pakistan Limited
Address	"9 KM, Multan Road, , ,Lahore"
Phone	042-35434087
Phone 2	3214311535
Fax	042-35415421
Date of Listing	27/08/1985
Email	cs@waves.net.pk
URL	www.wavessinger.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Babar Bashir Nawaz
Designation	Chief Executive
Company	Attock Cement Pakistan Limited
Address	"D-70, Block-4, Kehkashan-5 , Clifton,Karachi"
Phone	021-35309773-4
Phone 2	021-111-171-717
Fax	021-35309775
Date of Listing	28/06/2002
Email	acpl@attockcement.com
URL	www.attockcement.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Zameer Mohammed Choudrey
Designation	Chief Executive
Company	Bestway Cement Limited
Address	"Bestway Building , 19-A, College Road, F-7, Markaz,Islamabad"
Phone	051-2654856-63
Phone 2	
Fax	051-2654865-2654992
Date of Listing	09/04/2001
Email	management@bestway.com.pk
URL	www.bestway.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Azam Faruque
Designation	Chief Executive Officer
Company	Cherat Cement Company Limited
Address	"Modern Motors House , Beaumont Road,Karachi"
Phone	021-35683566-67
Phone 2	021-35689538-35688348
Fax	021-35683425-35682839
Date of Listing	25/05/1985
Email	"cherat@cherat.com.pk, info@gfg.com.pk"
URL	www.gfg.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Mohammed Amin Dadabhoy
Designation	Chief Executive
Company	Dadabhoy Cement Industries Limited
Address	"Suit #4, 2nd Floor, Plot No.28-30/C, Noor Centre , Khayaban-e-Ittehad,Lane #12, Phase-VII, D.H.A.,Karachi"
Phone	021-35312004-6
Phone 2	021-35312007-9
Fax	021-35312011
Date of Listing	09/03/1992
Email	mhdadabhoy@cyber.net.pk
URL	www.mhdadabhoy.com
Registrar	
	
Representative	Mr. Malik Bilal Omar
Designation	Chief Executive Officer
Company	Dewan Cement Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	021-111-364-111
Phone 2	
Fax	021-35630860
Date of Listing	19/06/1989
Email	info@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mian Raza Mansha
Designation	Chief Executive
Company	D.G. Khan Cement Company Limited
Address	"Nishat House , 53-A, Lawrence Road,Lahore"
Phone	"042-36367812-20, 36360154"
Phone 2	111-113-333
Fax	042-36367414
Date of Listing	15/09/1992
Email	info@dgcement.com
URL	www.dgcement.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Taha Muhammad Naseem
Designation	Chief Executive
Company	Dandot Cement Company Limited
Address	"43-A/S, Zafar Ali Road , Gulberg-V,Lahore"
Phone	042-35758614-16
Phone 2	
Fax	
Date of Listing	09/08/1989
Email	cfo@dandotcement.com
URL	www.dandotcement.com
Registrar	Corplink (Pvt) Limited
	
Representative	Qamar Haris Manzoor
Designation	Chief Executive/Managing Director
Company	Fauji Cement Company Limited
Address	"Fauji Towers, Block-III, 68 Tipu Road , Chaklala,Rawalpindi"
Phone	051-9280075
Phone 2	051-9280081-83
Fax	051-9280416
Date of Listing	09/10/1996
Email	secretary@fccl.com.pk
URL	www.fccl.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Mohammed Yaseen Fecto
Designation	Chief Executive
Company	Fecto Cement Limited
Address	"Plot # 60-C, Khayaban-e-Shahbaz, , Phase-VI, Defense Housing Authority,,Karachi"
Phone	021-35248921-24
Phone 2	
Fax	021-35248925
Date of Listing	21/10/1993
Email	cement@cyber.net.pk
URL	www.fectogroup.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Agha Hamayun Khan
Designation	Chief Executive Officer
Company	Flying Cement Company Limited
Address	"103-Fazal Road, St. John Park , Lahore Cantt:,Lahore"
Phone	042-36674301-5
Phone 2	
Fax	042-36660693
Date of Listing	02/05/2007
Email	cosecretary@flyingcement.com
URL	www.flyingcement.com
	
Representative	Mr. Mohammad Tousif Peracha
Designation	Chief Executive
Company	Gharibwal Cement Limited
Address	"Pace Tower, 1st Floor , 27-H, College Road, Gulberg-II,Lahore"
Phone	042-36060600
Phone 2	
Fax	042-36060665-66
Date of Listing	04/05/1962
Email	info@gharibwalcement.com
URL	www.gharibwalcement.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Abdus Samad Habib
Designation	Chief Executive Officer
Company	Javedan Corporation Limited
Address	"1st Floor, Arif Habib Centre , 23, M.T. Khan Road,Karachi"
Phone	111-511-611
Phone 2	021-32460717-19
Fax	021-32466824
Date of Listing	17/10/1962
Email	info@jcl.com.pk
URL	www.jcl.com.pk
	
Representative	Mr. Nadeem Atta Sheikh
Designation	Chief Executive
Company	Kohat Cement Company Limited
Address	"37-P , Gulberg-II,Lahore"
Phone	042-35754358-35755973
Phone 2	042-111-115-225
Fax	042-35754990-35754084
Date of Listing	20/04/1994
Email	mis@kohatcement.com
URL	www.kohatcement.com
	
Representative	Mr. Muhammad Ali Tabba
Designation	Chief Executive Officer
Company	Lucky Cement Limited
Address	"6-A, Muhammad Ali Hosing Society, , A. Aziz Hashim Tabba Street,Karachi"
Phone	"021-37130123, 34530175"
Phone 2	021-111-786-555
Fax	021-34534302
Date of Listing	16/01/1995
Email	info@lucky-cement.com
URL	www.lucky-cement.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Sayeed Tariq Saigol
Designation	Chief Executive
Company	Maple Leaf Cement Factory Limited
Address	"42- Lawrence Road , ,Lahore"
Phone	042-36278904-05
Phone 2	042-36304136-36369799
Fax	042-36363184-36368721
Date of Listing	17/08/1994
Email	mohsin.naqvi@kmlg.com
URL	www.kmlg.com
Registrar	Vision Consulting Limited
	
Representative	Syed Mazher Iqbal
Designation	Chief Executive Officer
Company	Pioneer Cement Limited
Address	"135, Ferozepour Road , ,Lahore"
Phone	042-37503570-72
Phone 2	
Fax	042-37503574
Date of Listing	15/09/1992
Email	pcllahore@pioneercement.com
URL	www.pioneercement.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Kashif Habib
Designation	Chief Executive
Company	Power Cement Limited
Address	"Arif Habib Center , 23, M.T .Khan Road,Karachi"
Phone	
Phone 2	021-32468231-32
Fax	021-32463209
Date of Listing	03/08/1988
Email	corporate@powercement.com.pk
URL	www.powercement.com.pk
	
Representative	Mr. Kashif A. Habib
Designation	Chief Executive Officer
Company	Safe Mix Concrete Limited
Address	"Plot # 1, Global Industry, Nusrat Bhutto Colony, , North Nazimabad,,Karachi"
Phone	0345-2022475
Phone 2	
Fax	021-35074603
Date of Listing	18/03/2010
Email	info@safemixlimited.com
URL	www.safemixlimited.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhammad Aslam Shaikh
Designation	Chief Executive Officer
Company	Thatta Cement Company Limited
Address	"C-1, KDA Scheme 1, , Karsaz,,Karachi"
Phone	021-111-842-882
Phone 2	021-34180770-73
Fax	021-34180774-75
Date of Listing	07/04/2008
Email	info@thattacement.com
URL	www.thattacement.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Jehangir Akbar
Designation	Chief Executive
Company	Zeal Pak Cement Factory Limited
Address	"4th Floor, Panorama Centre, Building No. 2, Doctors Plaza , Raja Ghazanfar Ali Khan Road, Saddar,Karachi"
Phone	021-35660501-4
Phone 2	111-111-104
Fax	021-35660503
Date of Listing	02/09/1957
Email	"zpcfl@yahoo.com, info@zealpak.com.pk"
URL	www.zealpak.com.pk
Registrar	
	
Representative	Mr. Muhammad Faisal Muzammil
Designation	Chief Executive Officer
Company	Agritech Limited
Address	"2nd Floor, Asia Centre, 8-Babar Block , New Garden Town,Lahore"
Phone	042-35860341-44
Phone 2	
Fax	042-35880339-35860340
Date of Listing	12/04/2010
Email	corporate@pafl.com.pk
URL	www.pafl.com.pk
	
Representative	Mr. Mujtaba Rahim
Designation	Chief Executive Officer
Company	Archroma Pakistan Limited
Address	"1-A/1, Sector-20 , Korangi Industrial Area,Karachi"
Phone	021-35123361-65
Phone 2	021-111-275-786
Fax	021-35046712- 35032337
Date of Listing	19/03/1997
Email	vaqar.arif@archroma.com
URL	www.archroma.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. M. Hanif Y. Bawany
Designation	Chief Executive/Managing Director
Company	Bawany Air Products Limited
Address	"16-C, Nadir House, 2nd Floor , I. I. Chundrigar Road,Karachi"
Phone	021-32400440-3
Phone 2	
Fax	021-32414790-32411986
Date of Listing	15/06/1983
Email	info@bawanyair.com
URL	www.bawanyair.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Dr. Mahmood Ahmad
Designation	Chief Executive
Company	Berger Paints Pakistan Limited
Address	"36-Industrial Estate , Kot Lakhpat,Lahore"
Phone	042-38101010-14
Phone 2	042-111-237-437
Fax	042-35151549
Date of Listing	24/12/1974
Email	wahid.qureshi@berger.com.pk
URL	www.berger.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Anwar Moin
Designation	Chief Executive Officer
Company	Biafo Industries Limited
Address	"1st Floor, Biafo House, Plot No. 23, , St No. 38-40, I&T Centre G-10/4,Islamabad"
Phone	"051-2353450-53, 2353455-57"
Phone 2	
Fax	051-2353458
Date of Listing	07/09/1994
Email	management@biafo.com
URL	www.biafo.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Adnan lqbal
Designation	Chief Executive Officer
Company	Buxly Paints Limited
Address	"X/3, S.I.T.E. , Manghopir Road,Karachi"
Phone	021-32577702-05
Phone 2	"021-32577672, 32578255"
Fax	021-32560468
Date of Listing	18/03/1986
Email	info@buxly.com
URL	www.buxly.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Zulfiqar Ali Lakhani
Designation	Chief Executive
Company	Colgate-Palmolive (Pakistan) Limited
Address	"Lakson Square Building No.2 , Sarwar Shaheed Road,Karachi"
Phone	021-35698000
Phone 2	
Fax	021-35684712 -35684336
Date of Listing	12/05/1984
Email	mansoor@lakson.com.pk
URL	www.colgate.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Faaiz Rahim Khan
Designation	Chief Executive
Company	Data Agro Limited
Address	"135-Upper Mall , Scotch Corner,Lahore"
Phone	042-35755165
Phone 2	
Fax	042-35757165
Date of Listing	08/11/1994
Email	data@brain.net.pk
URL	www.dataagrolimited.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Muhammad Mohsin Zia
Designation	Chief Executive Officer
Company	Descon Oxychem Limited
Address	"Descon Headquarters , 18 KM, Ferozpur Road,Lahore"
Phone	"042-35990034, 35923721-7"
Phone 2	
Fax	042-35811135-35923749
Date of Listing	15/09/2008
Email	info@desconoxychem.com
URL	www.desconoxychem.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Shabbir Abbas
Designation	Chief Executive Officer
Company	Dynea Pakistan Limited
Address	"Office No.406, Parsa Tower, Plot No.31/1/A , Block-6, PECHS, Shahrah-e-Faisal,Karachi"
Phone	021-34520132-4
Phone 2	
Fax	021-34392182
Date of Listing	03/03/1984
Email	info@dynea.com.pk
URL	www.dynea.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Jahangir Piracha
Designation	President & Chief Executive
Company	Engro Polymer & Chemicals Limited
Address	"12th Floor, Ocean Tower, G-3, , Block-9, Clifton Khayaban-e-Iqbal,Karachi"
Phone	021-111-411-411
Phone 2	021-35166863-64
Fax	021-35166865
Date of Listing	21/07/2008
Email	ssiddiki@engro.com
URL	www.engropolymer.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Jahangir Piracha
Designation	President & Cheif Executive
Company	Engro Polymer & Chemicals Limited (Preference Shares)
Address	"12th Floor, Ocean Tower, G-3, , Block-9, Clifton, Khayaban-e-Iqbal,Karachi"
Phone	021-111-411-411
Phone 2	021-35166863-64
Fax	021-35166865
Date of Listing	31/12/2020
Email	ssiddiki@engro.com
URL	www.engropolymer.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Atique Ahmad Khan
Designation	Chief Executive Officer
Company	Ghani Global Holdings Limited
Address	"10-N, , Model Town Ext.,Lahore"
Phone	042-35161424-5
Phone 2	111-442-641
Fax	042-35160393
Date of Listing	05/01/2010
Email	info.gases@ghaniglobal.com
URL	www.ghaniglobal.com
Registrar	Vision Consulting Limited
	
Representative	Hafiz Muddassir Alam
Designation	Chief Executive Officer
Company	G3 Technologies Limited (Formerly: Service Fabrics Limited)
Address	"10-N, , Model Town Ext.,Lahore"
Phone	042-35161424-5
Phone 2	
Fax	042-35160393
Date of Listing	12/09/1989
Email	corporate@ghaniglobal.com
URL	www.servicefabrics.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Asif Jooma
Designation	Chief Executive
Company	ICI Pakistan Limited
Address	"ICI House , 5-West Wharf,Karachi"
Phone	021-32313717-22
Phone 2	021-111-100-200
Fax	021-32311739
Date of Listing	05/07/1957
Email	ccpa.pakistan@ici.com.pk
URL	www.ici.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Abdul Sattar Khatri
Designation	Chief Executive Officer
Company	Ittehad Chemicals Limited
Address	"39 Empress Road , ,Lahore"
Phone	"042-36306586-88, 36306482"
Phone 2	
Fax	042-36365697
Date of Listing	14/04/2003
Email	info@ittehadchemicals.com
URL	www.ittehadchemicals.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Humair Ijaz
Designation	Chief Executive
Company	Lotte Chemical Pakistan Limited
Address	"EZ/1/P-4, Eastern Industrial Zone , Port Qasim,Karachi"
Phone	021-3472-6005 / 3472-6010
Phone 2	021-111-782-111
Fax	34726004-34726041
Date of Listing	27/09/2001
Email	
URL	www.lottechem.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Khawaja Imtiaz Ahmed
Designation	Managing Director & Chief Executive
Company	Leiner Pak Gelatine Limited
Address	"17-G , Gulberg-2,Lahore"
Phone	042-35756953-54
Phone 2	
Fax	042-35710604-35877030
Date of Listing	26/09/1984
Email	info@leinerpakgelatine.com
URL	www.leinerpakgelatine.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Zafar Mahmood
Designation	Chief Executive Officer
Company	Nimir Industrial Chemicals Limited
Address	"14.8 KM, Sheikhupura-Faisalabad Road, , Bhikhi,District Sheikhupura,Sheikhupura"
Phone	(56) 3883001-7
Phone 2	
Fax	(56) 3882198 - 3883010
Date of Listing	12/03/1996
Email	contact@nimir.com.pk
URL	www.nimir.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Zafar Mahmood
Designation	Chief Executive Officer
Company	Nimir Resins Limited
Address	"14.5 KM Lahore-Shaikhupura Road , ,Lahore"
Phone	042-37971512-14
Phone 2	
Fax	042-37970229
Date of Listing	18/05/1992
Email	info@nimir.com
URL	www.nimir.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Matin Amjad
Designation	Chief Executive Officer
Company	Pakistan Oxygen Limited
Address	"West Wharf , Dockyard Road,Karachi"
Phone	021-32313361-69
Phone 2	
Fax	021-32310580-32312968
Date of Listing	14/04/1958
Email	info.pk@pakoxygen.com
URL	www.pakoxygen.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Arif Shaffi
Designation	Chief Executive
Company	Pakistan PVC Limited
Address	"Plot No. 31-A , 1-9 Industrial Area,Islamabad"
Phone	"051-4430317, 4444578"
Phone 2	
Fax	051-4448116
Date of Listing	22/06/1965
Email	info@shavyl.com
URL	www.shavyl.com
Registrar	Corplink (Pvt) Limited
	
Representative	Sardar Mahmood Sadiq
Designation	Chief Executive
Company	Sardar Chemical Industries Limited
Address	"Office No.2-A, 2nd Floor, Canal Bank Road , Aziz Avenue, Justice Sardar Iqbal Road, Off: Zafar Ali Road, Gulberg,Lahore"
Phone	"042-35711154, 35710148,"
Phone 2	35753402
Fax	042-35775706
Date of Listing	08/11/1994
Email	info@sardarchemicals.com
URL	www.sardarchemicals.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Iftikhar A. Shaffi
Designation	Chief Executive
Company	Shaffi Chemical Industries Limited
Address	"23-K.M. Multan Road, Mohlanwal , ,Lahore"
Phone	"042-111-111-666, 37932001-7"
Phone 2	042-37540336-7
Fax	"042-35300010, 37540335"
Date of Listing	02/05/1996
Email	info@diamondfoam.com
URL	www.scil.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muhammad Adrees
Designation	Chief Executive Officer
Company	Sitara Chemical Industries Limited
Address	"601-602 Business Centre , Mumtaz Hassan Road,Karachi"
Phone	021-32420620-32413944
Phone 2	
Fax	021-32415452
Date of Listing	23/06/1987
Email	sitara@super.net.pk
URL	www.sitara.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Imran Ghafoor
Designation	Chief Executive Officer
Company	Sitara Peroxide Limited
Address	"7th Floor, 601-602, Business Centre , Mumtaz Hassan Road,Karachi"
Phone	021-32413944-32420620
Phone 2	
Fax	021-32415452
Date of Listing	23/07/2007
Email	spl@sitaraperoxide.com
URL	www.sitaraperoxide.com
Registrar	THK Associates (Private) Limited
	
Representative	Brig. (R) Shiraz Ullah Choudhry
Designation	Chief Executive
Company	Wah Noble Chemicals Limited
Address	"G.T. Road , Wah Cantt,Rawalpindi"
Phone	"051-5568760, 4545243-6"
Phone 2	
Fax	051-4545241-4535862
Date of Listing	10/07/1985
Email	ce@wahnobel.com
URL	www.wahnobel.com
Registrar	Ilyas Saeed Associates (Pvt.) Ltd.
	
Representative	Syed Masud A. Naqvi
Designation	Chief Executive
Company	Dominion Stock Fund Limited
Address	"406, 4th Floor, Trade Centre , I.I. Chundrigar Road,Karachi"
Phone	2211325-26
Phone 2	
Fax	2211337
Date of Listing	27/02/1995
Email	
URL	
Registrar	
	
Representative	Mr. Farid Ahmed Khan
Designation	Chief Executive Officer
